"김영환 지사, 과기장관에 AI영재고 설립 지원 등 건의"
"KT·서울성모병원, 당뇨 관리 돕는 AI 기술 개발"
삼성전자 ‘AI 챌린지’
"삼성전자, AI인재 키워 반도체·디스플레이 연구한다"
'2022 스마트농업 AI 경진대회' 개최
"코트라, 'AI 활용'…중견기업 ESG 모니터링 지원"
"빅데이터·AI 기술로 교통사고 막는다… 도로교통공단, 위험도로예측 서비스 ..."
"영남중·대구고 SW동아리, MS 주최 AI 경진대회 수상"
"네이버-네이버클라우드-충북대병원, AI 활용한 스마트 병원 구축 '맞손'"
"""AI 상담원이 사람 잡아먹는다""더니…놀라운 일이 벌어졌다"
"KT, 공감하는 AI로 ‘사람다운’ 로봇 세상 만든다"
"타임게이트, NIA ‘2022년 AI 학습용 데이터 구축’ 6개 분야 수행기관 선정"
"KT 대구경북본부, AI로봇 등 인공지능 기반 다양한 서비스 제공"
"아마존, AI 로봇 진심 ‘아이로봇’ 품었다"
1억개 데이터·AI로 피부병 정밀 진단·예측
AI와 대화·이동통신 모니터링…‘고독사 예방’ 팔걷은 지자체들
"삼성전자, 대학·대학원생 대상 '2022 삼성 AI 챌린지' 개최"
"영진전문대 AI융합기계계열, 로봇관련 학술대회 논문상 수상"
"KT-NIPA, ICT 벤처에 DX 컨설팅·AI인재 양성 지원"
"조선대 김영식 교수, 프라이버시 보장 AI 기술 공동 개발"
조선대 ‘AI·SW 여름방학 아카데미’ 진행
"충북테크노파크 OpenLAB, AI로봇 코딩교육 추진"
현대차 `R&D 경력` 세자릿수 채용… AI 인터뷰 도입
"도매꾹, B2B 마켓 최초 AI 상품추천 서비스"
"서울시-KAIST, 기업 내부서 고급 AI개발자 인력 양성하도록 지원"
동강대 AI 기반 맞춤형 토익 프로그램 실시
지금 들어가고 9월까지는 팔아라…AI가 예언하는 '나스닥100'
"남성희 전문대교협회장 ""전문대 AI·반도체 전공에 4년제 허용해야"""
[AI-META 시대 '미래전략']<26>교육 대전환
"GS네오텍, AI 적용한 차세대 보안 서비스 ‘사이트디펜더’ 출시"
AI와 영어 말하기 대결…윤선생 '말하톤 대회' 개최
"시 쓰는 AI, 인간에게 던지는 화두는?"
"과기정통부, AI 초일류 전략 내놓는다···AI 활용 제고에 방점"
"""AI는 LG죠"" 과기부 주최 심포지엄 주관사 합류…그룹사 총출동"
"조선대, 화정중서 ‘AI‧SW 여름방학 아카데미’ 진행"
"라이언로켓 X 티그컴퍼니, AI 접목한 새로운 K컬처 선봬"
"카카오가 찜한 'AI 아이돌', 뉴스 생방송에서 일냈다…'가상인간' 열풍"
‘땅개’서 ‘AI 무장 호랑이’로… 전투력 초격차로 적 초토화 [S스토리]
"똑똑한 'AI 은행원' 나온다...금융위, 가명정보 AI 데이터로 허용"
"KT·서울성모병원, AI 기반 디지털 트윈 기술로 당뇨 관리"
[경기] 경기교육감 인수위 백서 발간...AI 기반 교육 시행
"서울시-KAIST, 고급 AI개발자 양성 프로그램 지원"
과유불급 우려되는 AI영재고 유치 경쟁
풍선 속 다이아몬드 찾기…중국 쇼핑몰 아수라장｜AI가 Pick한 세상
"KT, EBS와 AI 인재 육성 맞손"
"광주시의회, AI 전문가 초청 '인공지능 R&D 발전방향' 공부"
AI가 이젠 시도 쓰고 작곡도 한다…저작권은 어떻게 될까
"김포공항 AI, 반입금지 물품 1초만에 잡는다"
"에이프리카, AI 통합 플랫폼 '치타' 조달청 디지털서비스몰 등록"
"진천교육청-진천군-카이스트, K-스마트교육 2.0 로봇 AI 영재캠프 개최"
"의료기 유통 에이치엔드림, AI영상분석 우경정보기술과 협약"
"고위험 수입식품, AI가 차단한다"
"현대차 연구개발본부, AI활용 대규모 경력직원 채용"
"코트라, 중견기업 'ESG 이슈' 모니터링...""이젠 AI로 하자"""
세일즈포스·마이크로소프트…전세계 AI기업 한방에 투자
"포스코그룹, AI 기술 자문위원회 신설…'미래 전략' 수립 시동"
괴산군도 합류 … AI 영재고 유치전 `후끈'
"포스코그룹, 'AI 기술 자문위원회' 신설…""신사업·인재 발굴"""
"아미크-KAIST, AI 기반 'ERP 시스템 위험 사전 진단' 기술 공동 개발"
"서천교육청, 미래 시대를 위한 AI 교육 교원 연수 운영"
"aT, 농산물 가격 예측 AI 경진대회 개최"
[VC가 찜한 스타트업] AI로 면접영상 분석…채용 공정성 높인다
"KB증권, 인공지능 기술 적용한 'AI상담 콜봇'"
"[Pangyo Tech] 리빌더AI, 가상공간 구축 위해 메가플랜과 맞손... 다량의 실사..."
"김범진 밸류맵 대표 ""AI 활용한 자동 건축설계 서비스 선봬"""
"[포착] 한밤중 극단적 선택 직전, AI가 극적 구조했다"
"KT-강동경희대병원, AI로봇 활용 병원업무 디지털전환 협약"
시(詩) 감정선까지 짚어낸 AI...‘무한도전’
[수필여행] AI 자동차
"KT-NIPA, ICT 분야 벤처기업 육성 AI·DX 인재양성 추진"
"호남대, 광주발달장애인훈련센터 AI교육과정 자문"
덴마크에 AI정당 등장···2023년 의석 확보 목표
AI 기반 유·무인 복합체계 구축방향 ‘한눈에’
"에이젠글로벌, 'AI FDS' 한국사회보장정보원과 공공재정 AI혁신 성과"
"'모네인 듯, 모네 아닌' AI 그림…예술적 가치 있을까? [아트마켓 사용설명서..."
"DL이앤씨, AI·360도 카메라 기반 현장관리 솔루션 도입"
울산대 맞춤형 AI 인력양성과정 수료식 개최
"[AI·VR·AR, 미래를 연다](9)써니팩토리"
"기보, 신입직원 75명 뽑는다…AI역량검사·블라인드 채용"
[김주하 AI 앵커와 쉬운 우리말로] '스키드 마크'를 우리말로 하면?
[AI-META 시대 '미래전략'] <27>기후변화 위기
꿈돌이‧빠망‧루미…지자체 캐릭터 살린 AI 돌봄인형 보급확산
"지질자원연, 제2회 지질자원데이터 활용 AI 경진대회"
"키움증권, AI가 고객 투자성향 분석해 자동으로 자산 배분"
KAIST가 'AI 반도체' 주도한다
[이환주의 아트살롱]AI와 예술 1화: AI가 노벨문학상을 받는다면?
[삼성화재배 AI와 함께하는 바둑 해설] 수에는 가격이 없다
"롯데정보통신, '보안 AI 모델'로 지능형 위협 차단"
'인공지능(AI) 활용 간담회' 개최
"강기정 광주시장 ""여당이 AI반도체 단지 등 현안 힘써달라"""
"금융위, 금융분야 AI기술 활성화 나선다"
"""딥페이크, 사회·국가적 혼란 초래 우려…AI로 AI 악용 막아야"""
AI 스타트업 ‘마크비전’ 260억 시리즈A 유치 성공 [주간 VC 동향]
"[게시판] KB증권, AI 상담 콜봇 서비스 오픈"
시 쓰고 그림 그리고… 예술영역 넘보는 AI
"제이엘케이 AI 치매 분석 솔루션, 태국 허가 획득"
"DL이앤씨, AI·360도 카메라 기반 현장관리 솔루션 '디비전' 도입"
"농정원, '2022 스마트농업 AI 경진대회' 개최"
AI융합기계계열 학술대회 영진전문대 논문상 수상...전문대 유일
"삼성전자, '2022 삼성 AI 챌린지' 개최"
빅데이터·AI 기반 위험도로예측 시범서비스 구축
"삼성전자, 우수 인력 발굴 위한 '2022 삼성 AI 챌린지' 개최"
"삼성전자, ‘2022 삼성 AI 챌린지’ 개최…9월16일까지 접수"
국내 대학·대학원생 대상 '2022 삼성 AI 챌린지' 개최
"타임게이트, NIA '2022 AI 학습용 데이터 구축 사업' 6개 분야 수행기관 선정"
