"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 월간(201907~201912)"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 07월","SK에너지","셀프","1777.00","1582.81","1482.81","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 08월","SK에너지","셀프","1777.00","1595.00","1495.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 09월","SK에너지","셀프","1799.33","1639.67","1511.33","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 10월","SK에너지","셀프","1803.13","1651.13","1504.03","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 11월","SK에너지","셀프","1792.00","1629.33","1495.00","0.00"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","2019년 12월","SK에너지","셀프","1798.45","1650.97","1495.00","0.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 07월","GS칼텍스","일반","2289.00","1999.00","1869.00","0.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 08월","GS칼텍스","일반","2289.00","1999.00","1881.39","0.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 09월","GS칼텍스","일반","2289.00","1999.00","1898.27","1399.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 10월","GS칼텍스","일반","2289.00","1998.74","1897.71","1399.00"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 11월","GS칼텍스","일반","2281.40","1990.53","1879.20","1325.73"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","2019년 12월","GS칼텍스","일반","2289.00","1999.00","1890.42","1326.23"
