"번호","지역","상호","주소","기간","상표","셀프여부","LPG"
"기준 : 월간(202001~202012)"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2020년 01월","SK에너지","일반","875.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2020년 02월","SK에너지","일반","933.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2020년 03월","SK에너지","일반","933.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2020년 04월","SK에너지","일반","873.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2020년 05월","SK에너지","일반","779.13"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2020년 06월","SK에너지","일반","809.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2020년 07월","SK에너지","일반","821.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2020년 08월","SK에너지","일반","821.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2020년 09월","SK에너지","일반","833.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2020년 10월","SK에너지","일반","835.68"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2020년 11월","SK에너지","일반","833.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2020년 12월","SK에너지","일반","862.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2020년 01월","SK가스","일반","875.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2020년 02월","SK가스","일반","932.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2020년 03월","SK가스","일반","932.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2020년 04월","SK가스","일반","872.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2020년 05월","SK가스","일반","776.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2020년 06월","SK가스","일반","808.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2020년 07월","SK가스","일반","820.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2020년 08월","SK가스","일반","820.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2020년 09월","SK가스","일반","832.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2020년 10월","SK가스","일반","832.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2020년 11월","SK가스","일반","832.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2020년 12월","SK가스","일반","858.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2020년 01월","GS칼텍스","일반","875.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2020년 02월","GS칼텍스","일반","932.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2020년 03월","GS칼텍스","일반","932.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2020년 04월","GS칼텍스","일반","872.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2020년 05월","GS칼텍스","일반","776.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2020년 06월","GS칼텍스","일반","808.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2020년 07월","GS칼텍스","일반","820.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2020년 08월","GS칼텍스","일반","820.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2020년 09월","GS칼텍스","일반","832.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2020년 10월","GS칼텍스","일반","832.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2020년 11월","GS칼텍스","일반","832.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2020년 12월","GS칼텍스","일반","858.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2020년 01월","GS칼텍스","일반","874.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2020년 02월","GS칼텍스","일반","931.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2020년 03월","GS칼텍스","일반","931.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2020년 04월","GS칼텍스","일반","872.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2020년 05월","GS칼텍스","일반","776.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2020년 06월","GS칼텍스","일반","808.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2020년 07월","GS칼텍스","일반","820.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2020년 08월","GS칼텍스","일반","820.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2020년 09월","GS칼텍스","일반","832.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2020년 10월","GS칼텍스","일반","832.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2020년 11월","GS칼텍스","일반","832.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2020년 12월","GS칼텍스","일반","857.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2020년 01월","E1","일반","875.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2020년 02월","E1","일반","931.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2020년 03월","E1","일반","931.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2020년 04월","E1","일반","871.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2020년 05월","E1","일반","776.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2020년 06월","E1","일반","808.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2020년 07월","E1","일반","820.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2020년 08월","E1","일반","820.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2020년 09월","E1","일반","832.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2020년 10월","E1","일반","832.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2020년 11월","E1","일반","832.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2020년 12월","E1","일반","858.00"
