,index,충전소명,충전소ID,충전기ID,충전기타입,주소,위도,경도,이용가능시간,기관아이디,운영기관명,운영기관 연락처,충전기상태,상태갱신일시,충전량유형,시도코드,주차료무료여부,충전소안내,이용자제한여부,이용제한사유,삭제여부,삭제사유
0,0,종묘 공영주차장,ME000001,1,3,서울특별시 종로구 종로 157,37.571076,126.99588,24시간 이용가능,ME,환경부,1661-9408,9,20211100000000.0,,11,Y,,N,,N,
1,1,세종로 공영주차장,ME000002,1,6,서울특별시 종로구 세종대로 189,37.573611,126.976011,24시간 이용가능,ME,환경부,1661-9408,9,20210800000000.0,,11,Y,,N,,N,
2,2,그랜드앰배서더 서울,ME000003,1,6,서울특별시 중구 동호로 287,37.559352,127.00235,24시간 이용가능,ME,환경부,1661-9408,9,20210900000000.0,,11,N,,N,,N,
3,3,한강진역 공영주차장,ME000004,1,3,서울특별시 용산구 한남동 산10-84,37.540085,127.002804,24시간 이용가능,ME,환경부,1661-9408,9,20210900000000.0,,11,Y,,N,,N,
4,4,기아차 성동서비스센터,ME000005,1,3,서울특별시 성동구 성수이로26길 61,37.544834,127.064226,24시간 이용가능,ME,환경부,1661-9408,9,20210700000000.0,,11,N,20190626 공사로 인한 임시철거,Y,20190626 공사로 인한 임시철거,N,
5,5,마장동사무소 앞(공중전화부스),ME000006,1,6,서울특별시 성동구 마장동 808,37.5660935,127.0455256,24시간 이용가능,ME,환경부,1661-9408,9,20211100000000.0,,11,N,,N,,N,
6,6,청량리롯데백화점,ME000007,1,3,서울특별시 동대문구 왕산로 214,37.58065,127.047938,24시간 이용가능,ME,환경부,1661-9408,9,20211000000000.0,,11,N,,N,,N,
7,7,이마트 이문점,ME000008,1,3,서울특별시 동대문구 이문로 136,37.598454,127.061848,10:00~24:00,ME,환경부,1661-9408,9,20210800000000.0,,11,N,,N,,N,
8,8,홈플러스 면목점,ME000010,1,3,서울특별시 중랑구 사가정로 332,37.580612,127.08154,10:00~24:00,ME,환경부,1661-9408,9,20210700000000.0,,11,N,,N,,N,
9,9,홈플러스 월곡점,ME000011,1,3,서울특별시 성북구 화랑로 76,37.60208293,127.040024,10:00~24:00,ME,환경부,1661-9408,9,20211000000000.0,,11,N,,N,,N,
10,10,성북벤처빌딩 공영주차장,ME000012,1,6,서울특별시 성북구 장위2동 65-154,37.60936,127.053263,,ME,환경부,1661-9408,5,20211100000000.0,,11,N,,N,,N,
11,11,롯데마트 삼양점,ME000013,1,3,서울특별시 강북구 삼양로 247,37.625405,127.017897,10:00~24:00,ME,환경부,1661-9408,9,20211100000000.0,,11,N,,N,,N,
12,12,빅마켓 도봉점,ME000014,1,3,서울특별시 도봉구 마들로 645,37.667567,127.04549,10:00~22:00,ME,환경부,1661-9408,9,20210700000000.0,,11,N,,N,,N,
13,13,이마트 은평점,ME000016,1,3,서울특별시 은평구 은평로 111,37.60047527,126.9204741,10:00~24:00,ME,환경부,1661-9408,9,20210900000000.0,,11,N,,N,,N,
14,14,구파발역 환승주차장,ME000017,1,3,서울특별시 은평구 진관동 66-30,37.63791,126.9191,24시간 이용가능,ME,환경부,1661-9408,9,20210900000000.0,,11,Y,,N,,N,
15,15,홈플러스 월드컵점,ME000018,1,3,서울특별시 마포구 월드컵로 240,37.566685,126.898753,08:00~24:00,ME,환경부,1661-9408,9,20210900000000.0,,11,N,,N,,N,
16,16,시설관리공단 마포유수지주차장,ME000019,1,3,서울특별시 마포구 마포대로1길 19,37.539442,126.943054,24시간 이용가능,ME,환경부,1661-9408,9,20210900000000.0,,11,Y,,N,,N,
17,17,노을공원,ME000020,1,6,"서울특별시 마포구 상암동 482-116, ",37.569588,126.879244,24시간 이용가능,ME,환경부,1661-9408,9,20210900000000.0,,11,Y,,N,,N,
18,18,홈플러스 목동점,ME000021,1,3,서울특별시 양천구 목동서로 170,37.52992611,126.8736403,10:00~24:00,ME,환경부,1661-9408,9,20210800000000.0,,11,N,,N,,N,
19,19,해맞이공영주차장,ME000022,1,6,서울특별시 양천구 지양로 47,37.520062,126.834854,24시간 이용가능,ME,환경부,1661-9408,2,20211100000000.0,,11,N,,N,,N,
20,20,홈플러스 가양점,ME000023,1,3,서울특별시 강서구 양천로 431,37.56401856,126.8505957,10:00~24:00,ME,환경부,1661-9408,9,20211000000000.0,,11,N,,N,,N,
21,21,롯데마트 김포공항점,ME000024,1,6,서울특별시 강서구 하늘길 77,37.563453,126.803539,24시간 이용가능,ME,환경부,1661-9408,9,20210700000000.0,,11,Y,,N,,N,
22,22,메이필드호텔,ME000025,1,6,서울특별시 강서구 방화대로 94,37.546851,126.818613,24시간 이용가능,ME,환경부,1661-9408,9,20210800000000.0,,11,N,,N,,N,
23,23,롯데마트 구로점,ME000026,1,3,서울특별시 구로구 경인로 482,37.49797486,126.8723453,10:00~24:00,ME,환경부,1661-9408,9,20210700000000.0,,11,N,,N,,N,
24,24,천왕역 환승주차장,ME000027,1,3,서울특별시 구로구 오류동 174-10,37.487234,126.839153,24시간 이용가능,ME,환경부,1661-9408,9,20210900000000.0,,11,Y,,N,,N,
25,25,구로리공원 앞(공중전화부스),ME000028,1,6,서울특별시 구로구 구로동 136-14,37.4912466,126.8919514,24시간 이용가능,ME,환경부,1661-9408,9,20211100000000.0,,11,N,,N,,N,
26,26,홈플러스 시흥점,ME000029,1,3,서울특별시 금천구 시흥대로 201,37.45222814,126.9009394,10:00~24:00,ME,환경부,1661-9408,9,20210800000000.0,,11,N,,N,,N,
