,유종,이름,가격,출시년도
0,가솔린,2023 BMW 7시리즈,"17,000만원",출시 2022년 11월
1,가솔린,2023 레이,정보없음,출시 2022년 9월
2,가솔린,2022 폭스바겐 티구안 올스페이스,"5,098만원",출시 2022년 8월
3,가솔린,2022 포드 익스플로러 하이브리드,"6,920만원",출시 2022년 8월
4,가솔린,2022 페라리 296 GTS,정보없음,출시 2022년 8월
5,가솔린,2023 투싼 하이브리드,"2,857~3,748만원",출시 2022년 7월
6,가솔린,2023 투싼,"2,584~3,801만원",출시 2022년 7월
7,가솔린,2023 쏘렌토 하이브리드,"3,602~4,634만원",출시 2022년 7월
8,가솔린,2023 쏘렌토,"3,002~4,394만원",출시 2022년 7월
9,가솔린,2023 쏘나타 하이브리드,"2,946~3,706만원",출시 2022년 7월
10,가솔린,2023 쏘나타,"2,592~3,633만원",출시 2022년 7월
11,가솔린,2023 스포티지 하이브리드,"3,163~3,972만원",출시 2022년 7월
12,가솔린,2023 스포티지,"2,474~3,818만원",출시 2022년 7월
13,가솔린,2023 셀토스,"2,062~2,865만원",출시 2022년 7월
14,가솔린,2023 K5 하이브리드,"2,834~3,551만원",출시 2022년 7월
15,가솔린,2023 K5,"2,400~3,284만원",출시 2022년 7월
16,가솔린,2023 BMW 8시리즈 그란쿠페,"13,910~14,810만원",출시 2022년 7월
17,가솔린,2023 BMW 8시리즈,"14,290~15,510만원",출시 2022년 7월
18,가솔린,2022 토레스,"2,740~3,220만원",출시 2022년 7월
19,가솔린,2022 지프 레니게이드,"4,190~4,840만원",출시 2022년 7월
20,가솔린,2022 애스턴마틴 DBX707,"31,700만원",출시 2022년 7월
21,가솔린,2022 아우디 S4,"8,116만원",출시 2022년 7월
22,가솔린,2022 아우디 RS5 스포트백,"12,222만원",출시 2022년 7월
23,가솔린,2022 아우디 A3 세단,"4,020~4,413만원",출시 2022년 7월
24,가솔린,2022 람보르기니 우라칸,"34,000만원",출시 2022년 7월
25,가솔린,2022 G70 슈팅브레이크,"4,310~4,560만원",출시 2022년 7월
26,가솔린,2023 미니 해치백 S 5도어,"4,570~4,670만원",출시 2022년 6월
27,가솔린,2023 미니 해치백 S,"4,480~4,580만원",출시 2022년 6월
28,가솔린,2023 미니 해치백 JCW,"5,300~5,480만원",출시 2022년 6월
29,가솔린,2023 미니 해치백 5도어,"3,520~3,540만원",출시 2022년 6월
30,가솔린,2023 미니 해치백,"3,440~4,030만원",출시 2022년 6월
31,가솔린,2023 미니 클럽맨 S,"4,960~5,060만원",출시 2022년 6월
32,가솔린,2023 미니 클럽맨 JCW,"6,130~6,210만원",출시 2022년 6월
33,가솔린,2023 미니 클럽맨,"4,200~4,220만원",출시 2022년 6월
34,가솔린,2023 미니 컨트리맨 S,"5,320~5,500만원",출시 2022년 6월
35,가솔린,2023 미니 컨트리맨 JCW,"6,250~6,430만원",출시 2022년 6월
36,가솔린,2023 미니 컨트리맨,"4,170~4,790만원",출시 2022년 6월
37,가솔린,2023 미니 컨버터블 S,"4,980~5,080만원",출시 2022년 6월
38,가솔린,2023 미니 컨버터블 JCW,"5,730~5,830만원",출시 2022년 6월
39,가솔린,2023 미니 컨버터블,"4,550~4,570만원",출시 2022년 6월
40,가솔린,2023 모닝,"1,175~1,540만원",출시 2022년 6월
41,가솔린,2023 SM6,"2,543~3,530만원",출시 2022년 6월
42,가솔린,2022 포르쉐 파나메라 GTS,"22,120만원",출시 2022년 6월
43,가솔린,2022 포르쉐 파나메라 E-하이브리드,"17,360~30,490만원",출시 2022년 6월
44,가솔린,2022 포르쉐 파나메라,"15,030~30,810만원",출시 2022년 6월
45,가솔린,2022 캐딜락 XT6,"8,441만원",출시 2022년 6월
46,가솔린,2022 캐딜락 XT5,"6,843~7,632만원",출시 2022년 6월
47,가솔린,2022 지프 컴패스,"5,140~5,640만원",출시 2022년 6월
48,가솔린,2022 아우디 A7,"9,047~9,832만원",출시 2022년 6월
49,가솔린,2022 쉐보레 이쿼녹스,"3,104~4,091만원",출시 2022년 6월
50,가솔린,2022 렉서스 NX 하이브리드,"6,500~7,440만원",출시 2022년 6월
51,가솔린,2022 렉서스 NX 플러그인 하이브리드,"7,100만원",출시 2022년 6월
52,가솔린,2022 렉서스 NX F 스포츠 플러그인 하이브리드,"7,800만원",출시 2022년 6월
53,가솔린,2023 K8 하이브리드,"3,738~4,415만원",출시 2022년 5월
54,가솔린,2023 K8,"3,259~4,565만원",출시 2022년 5월
55,가솔린,2022 팰리세이드,"3,867~6,028만원",출시 2022년 5월
56,가솔린,2022 토요타 GR 86,"4,030~4,630만원",출시 2022년 5월
57,가솔린,2022 아우디 RS7,"16,712만원",출시 2022년 5월
58,가솔린,2022 아우디 RS6 아반트,"16,112만원",출시 2022년 5월
59,가솔린,2022 아우디 A5,"6,790만원",출시 2022년 5월
60,가솔린,2022 메르세데스-AMG GT 4도어 쿠페,"14,310~16,960만원",출시 2022년 5월
61,가솔린,2022 랜드로버 레인지로버 LWB,"20,000~29,237만원",출시 2022년 5월
62,가솔린,2022 랜드로버 레인지로버,"19,000~21,000만원",출시 2022년 5월
63,가솔린,2022 그랜저 하이브리드,"3,787~4,606만원",출시 2022년 5월
64,가솔린,2022 그랜저,"3,392~4,486만원",출시 2022년 5월
65,가솔린,2023 쉐보레 트레일블레이저,"2,489~2,897만원",출시 2022년 4월
66,가솔린,2023 랜드로버 디펜더 110,"10,190~14,127만원",출시 2022년 4월
67,가솔린,2023 QM6,"2,489~4,075만원",출시 2022년 4월
68,가솔린,2022 포르쉐 카이엔 쿠페,"12,020~23,410만원",출시 2022년 4월
69,가솔린,2022 포르쉐 카이엔 E-하이브리드 쿠페,"12,760~14,620만원",출시 2022년 4월
70,가솔린,2022 포르쉐 카이엔 E-하이브리드,"12,160~14,290만원",출시 2022년 4월
71,가솔린,2022 포르쉐 카이엔,"11,120~17,100만원",출시 2022년 4월
72,가솔린,2022 토요타 라브4 하이브리드,"4,170~4,740만원",출시 2022년 4월
73,가솔린,2022 토요타 GR 수프라,"7,640만원",출시 2022년 4월
74,가솔린,2022 코나 하이브리드,"2,558~3,056만원",출시 2022년 4월
75,가솔린,2022 코나,"2,144~3,058만원",출시 2022년 4월
76,가솔린,2022 아우디 Q7,"11,300만원",출시 2022년 4월
77,가솔린,2022 아우디 A5 카브리올레,"7,566만원",출시 2022년 4월
78,가솔린,2022 아우디 A5 스포트백,"5,809~6,643만원",출시 2022년 4월
79,가솔린,2022 아우디 A4,"5,122~6,202만원",출시 2022년 4월
80,가솔린,2022 쉐보레 타호,"9,253~9,363만원",출시 2022년 4월
81,가솔린,2022 GV70,"4,904~5,864만원",출시 2022년 4월
82,가솔린,2022 BMW 2시리즈,"6,920만원",출시 2022년 4월
83,가솔린,2023 XM3,"1,865~2,862만원",출시 2022년 3월
84,가솔린,2022 혼다 어코드 하이브리드,"4,650만원",출시 2022년 3월
85,가솔린,2022 혼다 어코드,"3,790만원",출시 2022년 3월
86,가솔린,2022 혼다 CR-V 하이브리드,"4,850만원",출시 2022년 3월
87,가솔린,2022 혼다 CR-V,"3,900만원",출시 2022년 3월
88,가솔린,2022 푸조 5008,"4,770~5,870만원",출시 2022년 3월
89,가솔린,2022 포르쉐 마칸 GTS,"11,450만원",출시 2022년 3월
90,가솔린,2022 포르쉐 마칸,"9,560만원",출시 2022년 3월
91,가솔린,2022 포드 브롱코 4도어,"6,900만원",출시 2022년 3월
92,가솔린,2022 캐딜락 CT5-V,"13,857만원",출시 2022년 3월
93,가솔린,2022 지프 그랜드 체로키 L,"8,780~9,780만원",출시 2022년 3월
94,가솔린,2022 아반떼 하이브리드,"2,346~2,892만원",출시 2022년 3월
95,가솔린,2022 아반떼,"1,866~2,806만원",출시 2022년 3월
96,가솔린,2022 메르세데스-벤츠 C클래스,"6,150~6,800만원",출시 2022년 3월
