미래 기술의 핵심…삼성·LG 인공지능 저변 확대 나서
"도로교통공단, 인공지능 기반 도로 위험 안내 서비스 추진"
"타임게이트, '2022년 인공지능 학습용 데이터 구축사업' 수행기관 선정"
"코트라, 중견기업 ‘ESG 모니터링’…“인공지능으로 리스크 찾는다”"
"서울성모병원-KT, '당뇨 환자' 위한 인공지능 기반 디지털 트윈 구축한다"
"삼성전자, 인공지능·반도체 인재 발굴 ‘AI 챌린지’"
"광주시의회, 인공지능 전문가 초청 강연 개최"
"광주시의회, 인공지능 발전 방향 강연"
"울산대, 인공지능 교육과정 수료식 진행"
"""인공지능 쉽게 이해···스마트 시티 만들고 싶어요"""
"서천교육지원청, 미래시대 위한 인공지능 교육 연수 실시"
"인공지능 데이터테크 ‘라이앤캐처스’, 벤처기업 인증"
인공지능 기술로 고위험 수입식품 찾아낸다
"KB증권, 인공지능 기술 적용한 'AI상담 콜봇'"
"KT-NIPA, 디지털전환 관련 사업 및 인공지능·DX 분야 인재 양성 위해 '맞손'"
"에이프리카, 인공지능 통합 플랫폼 '치타' 조달청 디지털서비스몰 등록"
"KT·EBS, 소프트웨어·인공지능 인재 양성 나서…MOU 체결"
스마트농업 인공지능 경진대회 참가자 모집
"서울시-카이스트, 인공지능 교육 프로그램 2기 수강생 모집"
소리 데이터와 인공지능으로 이뤄지는 스마트 제조
포스코그룹 인공지능 기술 지문위원회 신설...첫 회의 개최
"KT, EBS와 '소프트웨어·인공지능 학습환경 제공' MOU"
"네이버-네이버클라우드-충북병원, 인공지능 기반 스마트 병원 구축한다"
'인공지능(AI) 활용 간담회' 개최
'KAIST 진천 인공지능 영재캠프' 성료
"“철강도 AI 도입”…포스코, 인공지능 기술 위원회 신설"
"‘KAIST 진천 인공지능 영재캠프’ , 인재 양성 가능성 보였다"
'인공지능(AI) 활용 간담회'에서 발언하는 김소영 금융위 부위원장
"DL이앤씨, '인공지능+360도 카메라' 현장관리 솔루션 도입"
[주간VC동향] 인공지능(AI) 스타트업 마크비전 260억원 규모 시리즈A 투자 유...
"에듀윌, '인공지능 합격진단 예측 서비스' 운영"
배터리에 인공지능 더해 사용 효율을 높이자
"2K ""NBA 2K23, 새로운 뱃지와 인공지능으로 사실적 농구 구현"""
"무대 위로 올라온 인공지능…지휘부터 시극(詩劇), 춤 실험까지"
"광주시의회, 인공지능 전문가 초청 강연"
"인공지능 기반 영어 학습 앱 말해보카, 누적 다운로드 수 200만 달성"
"[내:일을 여는 인문학] 조성배 교수의 '인공지능과 사람', 홍익희 칼럼니스트..."
"장성군, 홀몸 어르신에 인공지능 말동무 인형 지원"
"KAIST, 인공지능 반도체 생태계 선도"
"인공지능이 사용자 보안인프라 강화시킨다!... GS네오텍, 머신러닝 기반 '사이..."
"국민은행, 펀드·일임형 ISA 인공지능 화상서비스로 판매"
"SK C&C, 인공지능으로 울릉도 뇌출혈 응급환자 돕는다!"
"조달청, 인공지능 활용 '공공SW사업 발주지원시스템' 개통"
"KAIST, 인공지능 반도체 생태계를 선도하다"
‘예술’ 영역 넘보는 인공지능…시 쓰고 그림 그리는 초거대AI
"지질자원연구원, 지질자원데이터 활용·인공지능 경진대회"
"한양대 ERICA, 인공지능 최고영영자 교육과정 개설"
"광주시의회, 정민석 인공지능윤리연구소 연구원 초청 특강"
"삼진제약, 캐나다 인공지능 신약개발 플랫폼 업체와 공동연구"
"파워보이스, '보이스샵 음성인식 버전 1.0' GS 1등급 인증... 인공지능 음성-..."
[문화가K] 인공지능과 예술의 만남…‘제임스 쉐’ 첫 국내전
"고려대 법학전문대학원, 국내 최초 데이터·인공지능법 전문과정 개설"
KAIST ­ 연합학습 인공지능 기술 개발 시간 크게 단축
"김소영 금융부위원장, 인공지능 활용 간담회 참석"
"금융위, 금융분야 인공지능 활용 활성화…“양질의 빅데이터 확보 지원”"
"DL이앤씨, 360도 인공지능 카메라로 시공하자 줄인다"
"KB국민은행, 인공지능으로 '기업여신 자동심사' 한다"
"의료인공지능 솔루션 기업 뷰노, 데이터 기반 의료AI 사업 박차"
KT '다양성' 네이버 '인공지능' 카카오 '환자 불편'
인공지능 의료 로봇기업 '코넥티브' 시드 투자 유치
"하나은행, 모바일 앱서 인공지능 뱅커 도입…""은행권 최초"""
"강동경희대병원-KT, 인공지능 로봇 활용...의료진과 함께 환자 보살핀다!"
"KT, 라마다 문경새재호텔에 인공지능 기반 호텔 인포테인먼트 솔루션 적용"
[온누리]북한의 인공지능 교육
"진천중, 생거진천 인공지능(AI) 마을학교 운영"
"""스마트 제조 '인공 지능' 러닝도 진화...자동화 '속도' 높이고 '불량률' 낮춘..."
"DGIST 창업기업 ㈜유니바, 인공지능 학습용 데이터 구축 지원사업 선정"
