,year,month,전기차+신기술
0,2019,1,66
1,2019,2,29
2,2019,3,63
3,2019,4,37
4,2019,5,37
5,2019,6,13
6,2019,7,34
7,2019,8,22
8,2019,9,18
9,2019,10,41
10,2019,11,38
11,2019,12,39
12,2020,1,59
13,2020,2,17
14,2020,3,18
15,2020,4,14
16,2020,5,34
17,2020,6,33
18,2020,7,79
19,2020,8,23
20,2020,9,79
21,2020,10,41
22,2020,11,25
23,2020,12,53
24,2021,1,94
25,2021,2,43
26,2021,3,38
27,2021,4,43
28,2021,5,55
29,2021,6,61
30,2021,7,41
31,2021,8,52
32,2021,9,81
33,2021,10,47
34,2021,11,63
35,2021,12,71
