,year,month,전기차+친환경
0,2019,1,204
1,2019,2,27
2,2019,3,231
3,2019,4,206
4,2019,5,191
5,2019,6,156
6,2019,7,181
7,2019,8,176
8,2019,9,161
9,2019,10,235
10,2019,11,158
11,2019,12,191
12,2020,1,248
13,2020,2,142
14,2020,3,71
15,2020,4,89
16,2020,5,132
17,2020,6,149
18,2020,7,302
19,2020,8,206
20,2020,9,242
21,2020,10,241
22,2020,11,431
23,2020,12,327
24,2021,1,531
25,2021,2,429
26,2021,3,401
27,2021,4,454
28,2021,5,396
29,2021,6,393
30,2021,7,379
31,2021,8,378
32,2021,9,493
33,2021,10,428
34,2021,11,445
35,2021,12,426
